ESTABLECIMIENTO,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,ESTABLECIMIENTO_VARIANTES
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX COLOMBA,09-17-0066-46,09-012,QUETZALTENANGO,COLOMBA COSTA CUCA,CANTÓN LAS DELICIAS,55703188,JUAN JOSE COLOP COLOP,NANCY EDITH GARCÍA BARRIOS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX-COLOMBA
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX COOPERATIVA EL RECUERDO,"06-01-0105-46, 21-02-0091-46","06-039, 21-025","JALAPA, SANTA ROSA","CUILAPA, SAN PEDRO PINULA","CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1, RUTA NACIONAL NO. 18, KM. 123, ENTRADA AL AGUA TIBIA","78866063, 79220836","JORGE BALDOMERO GONZALEZ BARRERA, ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN DE CARIAS","ALEYDA MARGARITA MONTENEGRO HERNÁNDEZ, ZAIDA VIOLETA MARTÍNEZ FOLGAR",DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,"FIN DE SEMANA, SEMIPRESENCIAL","JALAPA, SANTA ROSA","CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""COOPERATIVA EL RECUERDO"", CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- COOPERATIVA EL RECUERDO/T-21"
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX DEPARTAMENTAL,"00-13-0051-46, 01-08-0741-46, 02-01-0062-46, 03-01-0233-46, 04-01-0306-46, 05-01-0417-46, 06-01-0118-46, 07-01-0175-46, 08-01-0268-46, 13-01-0381-46, 14-01-0278-46, 15-01-0185-46, 17-01-0156-46, 18-01-0414-46, 19-01-0206-46, 20-01-0257-46, 21-01-0421-46, 22-01-0390-46","01-637, 01-639, 02-021, 03-016, 04-029, 05-028, 06-039, 07-024, 08-025, 13-060, 14-037, 15-024, 17-001, 18-009, 19-018, 20-030, 21-025, 22-030","BAJA VERAPAZ, CHIMALTENANGO, CHIQUIMULA, CIUDAD CAPITAL, EL PROGRESO, ESCUINTLA, GUATEMALA, HUEHUETENANGO, IZABAL, JALAPA, JUTIAPA, PETEN, QUICHE, SACATEPEQUEZ, SANTA ROSA, SOLOLA, TOTONICAPAN, ZACAPA","ANTIGUA GUATEMALA, CHIMALTENANGO, CHIQUIMULA, CUILAPA, ESCUINTLA, FLORES, GUASTATOYA, HUEHUETENANGO, JALAPA, JUTIAPA, MIXCO, PUERTO BARRIOS, SALAMA, SANTA CRUZ DEL QUICHE, SOLOLA, TOTONICAPAN, ZACAPA, ZONA 13","11AVENIDA 1-99, ZONA 6, 13 CALLE 3-18 ZONA 1, 1A. CALLE 5-78 ZONA 3, 20 AVENIDA 13 Y 14 CALLE, 2A. AVENIDA 1-04, ZONA 1, 2DA. AVENIDA FINAL FRENTE AL COMPLEJO DEPORTIVO, 3RA. CALE ENTRE 14 Y 15 AVENIDA ZONA 1 ZACAPA, 4A. CALLE 2-55, ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA, 4TA. AVENIDA ""B"" 0-69 ZONA 2, COLONIA COTIO, 5A. AVENIDA 9-98, ZONA 7, SECTOR BRASILIA, 5TA.CALLE Y 3RA AV.ZONA 2 SANTA ELENA, 6A. AVENIDA 0-20 ZONA 13 GUATEMALA, 6A. AVENIDA NORTE NO. 80, 8VA. AVENIDA 6-60 ZONA 1, BARRIO LAS JOYAS, CEMENTERIO VIEJO, COMPLEJO EDUCATIVO, BARRIO EL CONDOR, LOCAL 37 Y 37 ""A"" CENTRO COMERCIAL PLAZA PALMERAS 1 AVE BARRIO SAN PEDRO EL PITO, ZONA 2, RUINAS DEL MOLINO, PARAJE AGUA TIBIA, CANTÓN POXLAJUJ.","22999595, 30648947, 31174739, 33595715, 37962236, 42168347, 45766461, 49337642, 55372711, 56170043, 57175702, 58015134, 77908100, 77909200, 78865585, 79224294, 79416215, 79625252","ANA MARIBEL CASTILLO DIAZ, ANGELINA LUX MENDOZA DE PUAC, AROLDO HOSBERI SOSA LÓPEZ, CLAUDIA YADIRA GUZMAN MONTEPEQUE DE AREVALO, JORGE BALDOMERO GONZALEZ BARRERA, JOSUE VINICIO ROMERO REYES, LUDVIN RICARDO URRUTIA LORENTI, MARCO TULIO AJQUEJAY PICHIYA, MARTA ELIDA CARIAS HERNANDEZ DE GARCIA, MARÍA OFELIA MUY QUICHÉ, MAYRA MARIVEL LOPEZ HERNANDEZ, MYNOR YOBANY MERLOS FLORIAN, OSCAR OSWALDO SON CAMEZ, RODOLFO MEDINA, VILMA ESPERANZA LOPEZ INTERIANO, VIVIAN VERONICA PRERA NOGUERA, VÍCTOR JESÚS TZIC LACÁN, ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN DE CARIAS","ANA ISABEL SANCHEZ CATAVI, ANGEL OSIEL BORJA PASCUAL, CARLOS JOSUÉ ROSALES DE PAZ, ELDER WILFREDO MENDOZA RODRÍGUEZ, FRANCISCO TUYUC BAL, FREDY EDGAR URÍZAR RODRÍGUEZ, HELLEN CELESTE MARROQUIN CORADO, JOEL NEHEMIAS NIX CHAN, LESTER ANTONIO GARCÍA MARTÍNEZ, MARTA JULIA BARRERA BARRERA DE ALVAREZ, MARÍA DEL CARMEN URIZAR CATALÁN, MAYKON JOSE TE MAQUIN, MELANIE ZULIETH DEL ROSARIO SIÁN SOLÍS, OSCAR HUMBERTO AGUILAR ALVIZURES, PABLO ALFREDO PETZEY COX, REYNA AMARILIS BARRERA ALAY, RICARDO ALBERTO LÓPEZ ÁLVAREZ., ROSALÍO BENJAMÍN AGUILAR MORALES",DIVERSIFICADO,OFICIAL,"RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, MATUTINA","A DISTANCIA, DIARIO(REGULAR), SEMIPRESENCIAL","BAJA VERAPAZ, CHIMALTENANGO, CHIQUIMULA, EL PROGRESO, ESCUINTLA, GUATEMALA OCCIDENTE, GUATEMALA ORIENTE, HUEHUETENANGO, IZABAL, JALAPA, JUTIAPA, PETÉN, QUICHÉ, SACATEPÉQUEZ, SANTA ROSA, SOLOLÁ, TOTONICAPÁN, ZACAPA","""CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL"", ""CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-DEPARTAMENTAL"", ""CENTRO DE EDUCACIÓN EXTRAESCOLAR-CEEX-DEPARTAMENTAL"", CENTRO DE EDUCACION EXTRAESCOLAR -CEEX- DEPARTAMENTAL, CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-DEPARTAMENTAL, CENTRO DE EDUCACION EXTRAESCOLAR-CEEX-DEPARTAMENTAL, CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX - DEPARTAMENTAL, CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL, CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL JALAPA, CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-DEPARTAMENTAL, CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL"
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX EULALIO NICASIO DE LEN,12-07-0221-46,12-109,SAN MARCOS,TACANA,CABECERA MUNICIPAL,37217804,VIOLETA FLORIDALMA FUENTES QUIROA,LUIS ROBLERO DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""EULALIO NICASIO DE LEÓN"""
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX FE Y ALEGRA NO. 12,13-02-0307-46,13-060,HUEHUETENANGO,CHIANTLA,"ALDEA CHUSCAJ, ZONA 4 CHIANTLA",77644550,AROLDO HOSBERI SOSA LÓPEZ,GERVIN GEOVANI JUSTINIANO CASTAÑEDA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),HUEHUETENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX FE Y ALEGRÍA NO. 12
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX FRAIJANES,01-13-0144-46,01-637,GUATEMALA,FRAIJANES,2 AVENIDA 1-30 ZONA 1,54826753,JOSUE VINICIO ROMERO REYES,JORGE MARIO CORTIDOR GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""FRAIJANES"""
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX FUNCAFE,"20-01-0255-46, 20-02-0012-46, 20-03-0035-46, 20-04-0137-46, 20-06-0042-46, 20-07-0143-46, 20-09-0069-46, 20-10-0020-46",20-030,CHIQUIMULA,"CHIQUIMULA, ESQUIPULAS, JOCOTAN, OLOPA, QUEZALTEPEQUE, SAN JACINTO, SAN JOSE LA ARADA, SAN JUAN ERMITA","10 CALLE 6-27 BARRIO SAN SEBASTIÁN, 1ERA. CALLE 4-59 ZONA 1, 6TA AVENIDA Y 4TA. CALLE ZONA 1, ALDEA CHISPÁN JARAL, ALDEA SASPÁN, ALDEA TITUQUE, ALDEA TIZUBÍN, CASERÍO TIERRA BLANCA, ALDEA LOS VADOS","30393716, 31712671, 33086541, 33874323, 42580713, 47517698, 55372091",VILMA ESPERANZA LOPEZ INTERIANO,"ANGELA ROCÍO DÍAZ URRUTIA, CARLOS ROLANDO MONROY CHEGÜÉN, DINA RAMÍREZ MARCOS, EDRAS JEREMÍAS GUERRA ALONZO, ERIKA JULISA OLIVA DUARTE, KATHLEEN GUEYLIN SAGASTUME GUERRA, NOHEMÍ ELIZABETH GARCÍA GUZMÁN, SINDY YAMALÍ VÁSQUEZ PASCUAL",DIVERSIFICADO,OFICIAL,"RURAL, URBANA",ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIQUIMULA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- FUNCAFE
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX FUNDACIN DECA,21-03-0036-46,21-025,JALAPA,SAN LUIS JILOTEPEQUE,BARRIO SANTA CRUZ,55787228,ZOILA LIGIA ELIZABETH MARTINEZ GUZMAN DE CARIAS,BAUDINO ADIL CHINCHILLA PALMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,JALAPA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""FUNDACIÓN DECA"""
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX GRUPO CEIBA,"00-01-0658-46, 00-01-0659-46, 04-04-0063-46, 13-09-0072-46, 20-01-0250-46","01-618, 04-029, 13-060, 20-030","CHIMALTENANGO, CHIQUIMULA, CIUDAD CAPITAL, HUEHUETENANGO","CHIQUIMULA, SAN ILDEFONSO IXTAHUACAN, SAN JUAN COMALAPA, ZONA 1","0 AVENIDA 4-24 ZONA 1, 2DA. AVENIDA Y 5TA. CALLE ESQUINA ZONA 1, LA PILONA BARRIO LA DEMOCRACIA, 4TA. AVENIDA 12-39, CASERÍO EL PLATANAR, ALDEA CASACA","22381970, 42415701, 49709946, 51122263","AROLDO HOSBERI SOSA LÓPEZ, MARCO TULIO AJQUEJAY PICHIYA, ROSA GEORGINA RIOS CASTILLO, VILMA ESPERANZA LOPEZ INTERIANO","DEYSI MABELI ALARCON PAREDES, DONALDO ENRIQUE SEGURA FRANCO, EDGAR LISANDRO TZAMOL SALAZAR, MAYCO LEONEL DOMINGO HERNÁNDEZ",DIVERSIFICADO,"OFICIAL, PRIVADO","RURAL, URBANA",ABIERTA,MONOLINGUE,"DOBLE, VESPERTINA","DIARIO(REGULAR), FIN DE SEMANA, SEMIPRESENCIAL","CHIMALTENANGO, CHIQUIMULA, GUATEMALA NORTE, HUEHUETENANGO","CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- GRUPO CEIBA, CENTRO DE EDUCACIÓN EXTRAESCOLAR GRUPO CEIBA, CENTRO DE EDUCACIÓN EXTRAESCOLAR-CEEX GRUPO CEIBA-GRUCE, CENTRO DE EDUCACIÓN EXTRAESCOLAR-CEEX-GRUPO CEIBA-GRUCE"
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX KUMOOL,01-08-0761-46,01-639,GUATEMALA,MIXCO,"14 AVENIDA 0-81 ZONA 2, COLONIA URBANIZACIÓN GONZALEZ",23135284,LUDVIN RICARDO URRUTIA LORENTI,VÍCTOR DANIEL GARCÍA VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- KUMOOL
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX MALACATAN,12-15-0203-46,12-109,SAN MARCOS,MALACATAN,CABECERA MUNICIPAL,55448200,VIOLETA FLORIDALMA FUENTES QUIROA,JOSÉ ROBERTO MELGAR ECHEVERRIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""MALACATAN"""
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX PRONEA ASORO,20-04-0261-46,20-030,CHIQUIMULA,JOCOTAN,BARRIO SAN SEBASTIÁN,56980041,VILMA ESPERANZA LOPEZ INTERIANO,PAULA KAROLINA LÓPEZ RAMÍREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,CHIQUIMULA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX PRONEA ASORO-
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX QUETZALTENANGO,"09-01-0443-46, 09-01-0478-46",09-012,QUETZALTENANGO,QUETZALTENANGO,"0 AVENIDA 5-08, ZONA 6, EL MIRADOR, 2DA. CALLE 15A-43 ZONA 1","44988031, 53257010",JUAN JOSE COLOP COLOP,"CLAUDIA EDELMIRA AGUILAR LÓPEZ, IMELDA GUADALUPE ROMERO GARCÍA",DIVERSIFICADO,"OFICIAL, PRIVADO",URBANA,ABIERTA,"BILINGUE, MONOLINGUE",DOBLE,DIARIO(REGULAR),QUETZALTENANGO,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX QUETZALTENANGO, CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- QUETZALTENANGO"
CENTRO DE EDUCACIN EXTRAESCOLAR CEEX SABIDURA,04-01-0252-46,04-029,CHIMALTENANGO,CHIMALTENANGO,1A. CALLE 9-120 ZONA 3,56348054,MARCO TULIO AJQUEJAY PICHIYA,INGRID ELIZABETH SAC HERNANDEZ,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- SABIDURÍA
CENTRO DE EDUCACIN EXTRAESCOLAR ESCUELA DE CAFICULTURA,"06-02-0076-46, 12-11-0033-46","06-039, 12-109","SAN MARCOS, SANTA ROSA","BARBERENA, SAN RAFAEL PIE DE LA CUESTA","CASERÍO NUEVO PLATANILLO, FINCA LAS FLORES","31692818, 57789202","JORGE BALDOMERO GONZALEZ BARRERA, VIOLETA FLORIDALMA FUENTES QUIROA","EMERSON MAUDIEL BARRERA MALDONADO, WENDY CAROLINA FUENTES ALVARADO",DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,"DIARIO(REGULAR), FIN DE SEMANA","SAN MARCOS, SANTA ROSA","CENTRO DE EDUCACION EXTRAESCOLAR ""ESCUELA DE CAFICULTURA"", CENTRO DE EDUCACIÓN EXTRAESCOLAR ""ESCUELA DE CAFICULTURA"""
CENTRO DE EDUCACIN EXTRAESCOLAR MI ESPECIAL TESORO,04-01-0271-46,04-029,CHIMALTENANGO,CHIMALTENANGO,8A. AVENIDA 1-63 ZONA 6 COLONIA LOS ANONALES,78397564,MARCO TULIO AJQUEJAY PICHIYA,VANESSA KARINA LÓPEZ ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR MI ESPECIAL TESORO
CENTRO DE EDUCACIN EXTRAESCOLAR MODALIDAD FLEXIBLE,01-15-0531-46,01-640,GUATEMALA,VILLA NUEVA,"10A. AVENIDA 10-55, ZONA 2",57170570,ELISEO DANIEL ALVAREZ NATARENO,ANA ALVARADO PINEDA,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,CENTRO DE EDUCACIÓN EXTRAESCOLAR MODALIDAD FLEXIBLE
CENTRO DE EDUCACIN EXTRAESCOLAR MODALIDADES FLEXIBLES CEEX DEPARTAMENTAL,00-12-0132-46,01-640,CIUDAD CAPITAL,ZONA 12,"AVENIDA PETAPA 47-79, ZONA 12",41993137,ELISEO DANIEL ALVAREZ NATARENO,IRMA DAMARIS ESCOBAR GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA SUR,CENTRO DE EDUCACIÓN EXTRAESCOLAR MODALIDADES FLEXIBLES CEEX-DEPARTAMENTAL
CENTRO DE EDUCACIN EXTRAESCOLAR SANTA ROSITA,06-01-0116-46,06-039,SANTA ROSA,CUILAPA,"KILOMETRO 65.5 CARRETERA A EL SALVADOR ALDEA LOS ESCLAVOS CENTRO DE DETENCION PREVENTIVA ""EL BOQUERON""",30157695,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR ""SANTA ROSITA"""
CENTRO DE EDUCACIN EXTRAESCOLAR TEJIENDO EL FUTURO,04-04-0056-46,04-029,CHIMALTENANGO,SAN JUAN COMALAPA,"3A. AVENIDA ""A"" 00-022 ZONA 3",47238038,MARCO TULIO AJQUEJAY PICHIYA,MARÍA LIDIA TZAJ SIMÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO,CENTRO DE EDUCACIÓN EXTRAESCOLAR TEJIENDO EL FUTURO
"CENTRO DE EDUCACIN EXTRAESCOLAR, MUNICIPAL, CEEX","02-01-0049-46, 13-01-0423-46, 13-04-0118-46, 13-20-0047-46, 14-01-0271-46, 14-06-0072-46, 14-09-0091-46, 14-15-0259-46, 20-04-0210-46, 20-04-0211-46, 20-04-0212-46, 20-04-0213-46","02-021, 13-060, 14-037, 20-030","CHIQUIMULA, EL PROGRESO, HUEHUETENANGO, QUICHE","CUILCO, GUASTATOYA, HUEHUETENANGO, JOCOTAN, SAN MIGUEL USPANTAN, SAN PEDRO JOCOPILAS, SAN SEBASTIAN HUEHUETENANGO, SANTA CRUZ DEL QUICHE, SANTO TOMAS CHICHICASTENANGO","16/10/2021, 7A. AVENIDA 6-31, ZONA 3, ALDEA GUARERUCHE, ALDEA MATAZANO, ALDEA TONTOLES, CANTÓN CHICUÁ SEGUNDO, CANTÓN PACHÓ, ALDEA LEMÓA, CASERÍO MAGUEYAL, ALDEA PACRÉN, CASERÍO TZIMINAS, ALDEA TZABAL, COLONIA LINDA VISTA, CORRAL CHIQUITO ZONA 8, SAN PEDRO JOCOPILAS","33360297, 38542069, 45061361, 45421031, 45766136, 47828101, 55374274, 57211680, 57682161, 58250827, 59541012, 59655416","ANGELINA LUX MENDOZA DE PUAC, AROLDO HOSBERI SOSA LÓPEZ, MARTA ELIDA CARIAS HERNANDEZ DE GARCIA, VILMA ESPERANZA LOPEZ INTERIANO","ANGELICA LUCIA MÉNDEZ ESQUIVEL, BERNABÉ PATROCINIO GÁLVEZ ROBLERO, JOSÉ EDUARDO AJANEL VENTURA, JOSÉ HERNÁNDEZ GREGORIO, JUAN CARLOS CHACAJ TOÑO, JUANA US CONTRERAS, LUZ AMANDA RAMÍREZ RAMÍREZ, MARÍA VICTORIA GERÓNIMO ESCALANTE DE MÉNDEZ, RUDY CALIN GARCÍA IXCOY, SANDRA PAOLA MORALES GARCÍA, THELMA ASUCENA MENDOZA MENDOZA DE CARRILLO, WENDY DÍAZ PÉREZ",DIVERSIFICADO,"MUNICIPAL, OFICIAL, PRIVADO","RURAL, URBANA",ABIERTA,"BILINGUE, MONOLINGUE","DOBLE, SIN JORNADA, VESPERTINA","FIN DE SEMANA, SEMIPRESENCIAL, SEMIPRESENCIAL (UN DÍA A LA SEMANA)","CHIQUIMULA, EL PROGRESO, HUEHUETENANGO, QUICHÉ","CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- MUNICIPAL, CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX MUNICIPAL, CENTRO DE EDUCACIÓN EXTRAESCOLAR MUNICIPAL-CEEXM, CENTRO DE EDUCACIÓN EXTRAESCOLAR, MUNICIPAL, -CEEX-, CENTRO MUNICIPAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-, CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-"
CENTRO DE EDUCACIN INTEGRAL ELYON,"00-07-0242-46, 00-07-0243-46",01-639,CIUDAD CAPITAL,ZONA 7,"38 CALLE ""E"" 34-10, COLONIA AMPARO 1, ZONA 7",46810615,LUDVIN RICARDO URRUTIA LORENTI,SILVIA MARLENI ALVARADO GUARDADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,"DOBLE, SIN JORNADA","SEMIPRESENCIAL, SEMIPRESENCIAL (DOS DÍAS A LA SEMANA)",GUATEMALA OCCIDENTE,"CENTRO DE EDUCACIÓN INTEGRAL ""ELYON"""
CENTRO DE EDUCACION DE NIVEL MEDIO NUESTRO FUTURO,03-12-0106-46,03-007,SACATEPEQUEZ,CIUDAD VIEJA,4A. AVENIDA 8-11 ZONA 3,78315257,MARLIS BERZABE REYES REYES,DELIA ALEJANDRA GÁMEZ MENCOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,CENTRO DE EDUCACION DE NIVEL MEDIO NUESTRO FUTURO
CENTRO DE EDUCACION EXTRA ESCOLAR CEEX,03-04-0089-46,03-016,SACATEPEQUEZ,SUMPANGO,1RA. CALLE 0-22 ZONA 3,79576060,OSCAR OSWALDO SON CAMEZ,PAMELA ALEJANDRA HERNANDEZ MONTERROSO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SACATEPÉQUEZ,CENTRO DE EDUCACION EXTRA ESCOLAR -CEEX
